processes,throughput_jps,cold_start_ms,avg_cpu_s,avg_rss_mb,p50_lat,p90_lat,p99_lat,duration
1,128.61,5718,49.05,191.95,36.364,56.653,61.427,77.754923
2,249.41,5746,95.59,384.24,14.138,21.586,23.338,40.093997
4,438.88,5786,170.80,724.62,5.017,5.108,5.152,22.785336
8,526.08,5833,267.13,1419.88,1.317,4.137,4.676,19.008539
16,517.02,6266,483.49,2832.52,0.763,3.786,4.697,19.341761
