processes,throughput_jps,cold_start_ms,avg_cpu_s,avg_rss_mb,p50_lat,p90_lat,p99_lat,duration
1,143.31,795,64.25,190.62,25.718,46.134,51.501,69.780704
2,257.66,799,129.73,375.32,5.436,18.855,19.744,38.811478
4,442.37,794,249.17,734.57,0.315,1.965,2.48,22.605493
8,460.02,1129,333.69,1364.05,0.003,0.004,0.005,21.73821
16,436.75,1527,539.50,2463.98,0.004,0.004,0.005,22.896444
