processes,throughput_jps,cold_start_ms,avg_cpu_s,avg_rss_mb,p50_lat,p90_lat,p99_lat,duration
1,167.68,865,86.00,226.15,16.019,30.129,33.462,59.636147
2,318.32,857,160.76,444.39,1.52,3.495,3.925,31.414713
4,363.50,861,164.68,1049.65,0.012,0.039,0.056,27.510632
8,361.11,867,175.16,2065.32,0.01,0.033,0.05,27.692503
