processes,throughput_jps,cold_start_ms,avg_cpu_s,avg_rss_mb,p50_lat,p90_lat,p99_lat,duration
1,138.85,748,64.45,191.75,27.561,49.033,53.748,72.020475
2,255.11,766,126.48,377.37,8.947,17.755,19.959,39.198945
4,450.63,830,255.30,734.01,0.485,1.628,1.802,22.191063
8,437.28,872,328.02,1459.94,0.004,0.004,0.008,22.8687
16,426.64,1556,557.37,2573.40,0.004,0.004,0.005,23.438974
