processes,throughput_jps,cold_start_ms,avg_cpu_s,avg_rss_mb,p50_lat,p90_lat,p99_lat,duration
1,164.86,817,86.49,224.21,15.258,29.515,32.796,60.658187
2,318.27,867,160.58,443.56,1.404,2.777,3.278,31.419387
4,348.16,875,169.09,1026.54,0.012,0.038,0.061,28.722681
8,346.62,974,184.67,2052.91,0.011,0.031,0.054,28.849635
16,348.58,991,200.33,4420.97,0.009,0.022,0.043,28.687913
