processes,throughput_jps,cold_start_ms,avg_cpu_s,avg_rss_mb,p50_lat,p90_lat,p99_lat,duration
1,163.48,805,88.63,252.84,20.215,37.066,41.211,61.170745
2,337.89,885,186.12,478.81,1.732,7.704,8.119,29.595165
4,442.54,888,263.13,923.19,0.002,0.008,0.028,22.596602
8,400.53,1260,304.73,1731.90,0.001,0.004,0.011,24.967005
16,384.57,1650,509.78,3306.78,0.001,0.002,0.006,26.002785
