processes,throughput_jps,cold_start_ms,avg_cpu_s,avg_rss_mb,p50_lat,p90_lat,p99_lat,duration
1,223.88,881,95.74,257.82,16.836,30.816,33.948,44.66614
2,426.67,894,190.78,494.45,6.038,11.605,12.736,23.437351
4,769.17,940,371.36,953.98,0.572,1.44,1.678,13.000965
8,850.51,1013,487.92,1824.92,0.005,0.012,0.144,11.757668
16,845.50,1562,769.69,3514.40,0.004,0.009,0.018,11.827282
