threads,throughput_jps,cold_start_ms,avg_cpu_s,avg_rss_mb,p50_lat,p90_lat,p99_lat,duration
1,392.34,755,74.50,137.53,0.109,4.742,6.277,25.488178
2,426.50,824,92.27,146.59,0.119,0.263,1.045,23.446493
4,413.99,805,100.48,174.98,0.022,0.067,0.112,24.155138
8,384.42,783,104.96,223.37,0.026,0.076,0.127,26.013398
16,439.31,774,105.32,267.45,0.037,0.09,0.13,22.763078
