threads,throughput_jps,cold_start_ms,avg_cpu_s,avg_rss_mb,p50_lat,p90_lat,p99_lat,duration
1,108.41,897,204.39,601.05,7.626,52.97,65.619,92.241662
2,216.16,896,340.81,644.50,1.883,7.957,17.55,46.262222
4,353.88,926,387.87,688.90,0.01,0.026,0.096,28.258229
8,350.28,890,394.14,826.14,0.013,0.022,0.089,28.548689
16,357.93,897,399.63,1048.71,0.028,0.045,0.148,27.938786
