threads,throughput_jps,cold_start_ms,avg_cpu_s,avg_rss_mb,p50_lat,p90_lat,p99_lat,duration
1,333.36,849,236.17,546.99,0.359,0.92,1.119,29.997338
2,350.28,984,200.55,598.68,0.012,0.042,0.075,28.548858
4,355.76,912,190.81,667.20,0.011,0.04,0.065,28.109037
8,353.62,908,171.02,793.84,0.009,0.03,0.076,28.279242
16,348.46,885,175.47,904.03,0.009,0.027,0.08,28.697316
