processes,throughput_jps,cold_start_ms,avg_cpu_s,avg_rss_mb,p50_lat,p90_lat,p99_lat,duration
1,92.48,831,82.60,282.78,36.256,74.421,84.299,108.128338
2,215.82,971,195.99,502.25,11.456,20.363,22.102,46.335157
4,370.41,890,379.35,981.58,0.014,0.12,0.158,26.997453
8,320.65,1076,600.15,1907.01,0.006,0.011,0.024,31.186609
16,225.24,1901,940.52,3261.66,0.009,0.016,0.027,44.396515
