processes,throughput_jps,cold_start_ms,avg_cpu_s,avg_rss_mb,p50_lat,p90_lat,p99_lat,duration
1,169.67,891,85.57,228.21,15.134,29.037,32.166,58.93837
2,318.02,867,160.59,479.04,1.128,3.199,3.719,31.444154
4,357.30,807,164.86,1031.75,0.009,0.036,0.053,27.988042
8,356.75,873,171.73,2081.15,0.007,0.027,0.045,28.030465
16,355.22,870,187.80,4349.91,0.006,0.014,0.031,28.151425
