processes,throughput_jps,cold_start_ms,avg_cpu_s,avg_rss_mb,p50_lat,p90_lat,p99_lat,duration
1,89.90,828,81.91,287.33,39.432,78.935,87.695,111.232614
2,123.73,853,151.50,538.69,10.713,47.542,56.172,80.820547
4,367.87,895,385.15,976.14,0.071,0.294,0.363,27.183315
8,320.00,1247,602.80,1996.52,0.011,0.016,0.028,31.250356
16,248.32,1757,971.73,3259.03,0.012,0.019,0.028,40.270686
