processes,throughput_jps,cold_start_ms,avg_cpu_s,avg_rss_mb,p50_lat,p90_lat,p99_lat,duration
1,166.28,764,87.94,250.72,18.776,36.002,39.337,60.139741
2,344.59,813,190.52,475.15,0.71,7.461,7.702,29.019738
4,442.11,838,259.75,925.34,0.004,0.009,0.033,22.618794
8,434.51,1103,336.58,1755.01,0.004,0.006,0.013,23.014649
16,428.17,1703,522.13,3265.87,0.003,0.004,0.008,23.355131
