processes,throughput_jps,cold_start_ms,avg_cpu_s,avg_rss_mb,p50_lat,p90_lat,p99_lat,duration
1,129.06,5719,55.32,191.89,32.812,55.873,61.226,77.486321
2,237.77,5778,100.63,380.90,15.887,23.418,25.208,42.057953
4,424.45,5775,173.15,728.98,5.743,5.89,5.951,23.560082
8,525.61,5841,276.19,1422.24,0.895,4.236,4.823,19.025391
16,493.38,6376,509.86,2797.54,1.282,3.83,4.708,20.26836
