processes,throughput_jps,cold_start_ms,avg_cpu_s,avg_rss_mb,p50_lat,p90_lat,p99_lat,duration
1,168.00,830,90.68,249.41,17.597,35.233,39.128,59.525067
2,359.82,792,190.02,476.63,1.19,6.139,6.349,27.791994
4,420.52,904,263.53,916.80,0.004,0.008,0.03,23.780063
8,442.14,1097,320.11,1719.31,0.004,0.006,0.012,22.617331
16,441.51,1683,508.71,3267.92,0.003,0.004,0.007,22.649556
