processes,throughput_jps,cold_start_ms,avg_cpu_s,avg_rss_mb,p50_lat,p90_lat,p99_lat,duration
1,171.07,787,85.50,228.54,15.244,28.821,32.022,58.454989
2,322.74,865,160.10,442.32,1.453,3.117,3.571,30.984495
4,361.29,865,165.14,1027.15,0.012,0.04,0.06,27.678913
8,356.95,872,172.78,2124.86,0.01,0.032,0.05,28.014792
