threads,throughput_jps,cold_start_ms,avg_cpu_s,avg_rss_mb,p50_lat,p90_lat,p99_lat,duration
1,445.02,937,331.91,542.14,6.065,10.42,11.475,22.471054
2,688.48,936,370.80,587.14,1.647,2.74,3.005,14.524701
4,841.82,939,391.21,666.74,0.077,0.233,0.282,11.879016
8,839.02,959,357.01,823.23,0.004,0.108,0.199,11.918656
16,852.45,959,346.98,1074.89,0.005,0.143,0.304,11.73091
