processes,throughput_jps,cold_start_ms,avg_cpu_s,avg_rss_mb,p50_lat,p90_lat,p99_lat,duration
1,169.675,866.0,85.33500000000001,228.385,15.302,29.025,32.433,58.936148
2,317.605,864.0,160.54000000000002,442.145,1.5234999999999999,3.481,3.9364999999999997,31.4857035
4,360.435,868.5,164.865,1024.85,0.011,0.039,0.0605,27.744381500000003
8,358.375,869.0,174.48000000000002,2117.05,0.01,0.032,0.05,27.90363
