threads,throughput_jps,cold_start_ms,avg_cpu_s,avg_rss_mb,p50_lat,p90_lat,p99_lat,duration
1,350.39,844,309.48,546.72,0.123,10.6,12.313,28.539292
2,438.74,957,291.13,589.34,0.001,0.042,0.089,22.792461
4,403.57,952,254.87,642.06,0.001,0.018,0.064,24.779032
8,430.15,910,226.68,683.85,0.001,0.005,0.046,23.24781
16,447.11,833,220.58,752.78,0.001,0.003,0.043,22.365675
