processes,throughput_jps,cold_start_ms,avg_cpu_s,avg_rss_mb,p50_lat,p90_lat,p99_lat,duration
1,172.59,874,85.81,227.90,14.928,28.407,31.465,57.940633
2,323.57,874,161.13,444.32,1.113,2.925,3.338,30.90528
4,358.23,866,158.88,1015.85,0.009,0.036,0.055,27.915209
8,355.08,871,169.48,2112.99,0.007,0.027,0.044,28.162595
16,351.43,824,188.53,4261.60,0.006,0.018,0.036,28.455291
