threads,throughput_jps,cold_start_ms,avg_cpu_s,avg_rss_mb,p50_lat,p90_lat,p99_lat,duration
1,421.00,859,300.88,547.18,0.111,2.473,3.497,23.752863
2,446.28,820,294.86,569.24,0.005,0.04,0.075,22.407558
4,438.22,846,222.29,631.53,0.003,0.011,0.046,22.819502
8,447.12,865,226.71,693.49,0.003,0.006,0.048,22.365427
16,434.62,843,206.63,812.87,0.003,0.005,0.045,23.008374
