processes,throughput_jps,cold_start_ms,avg_cpu_s,avg_rss_mb,p50_lat,p90_lat,p99_lat,duration
1,171.82,872,84.80,234.17,15.346,28.698,31.859,58.199241
2,315.04,858,160.36,441.77,1.59,3.617,4.165,31.741827
4,359.67,862,163.18,1012.63,0.011,0.04,0.071,27.803195
8,357.26,868,172.52,2078.00,0.01,0.031,0.05,27.991172
