threads,throughput_jps,cold_start_ms,avg_cpu_s,avg_rss_mb,p50_lat,p90_lat,p99_lat,duration
1,402.77,908,300.66,548.78,0.114,5.447,7.578,24.828198
2,423.79,884,282.61,576.31,0.005,0.047,0.091,23.596714
4,441.87,907,251.86,635.47,0.003,0.015,0.054,22.631049
8,437.93,873,220.24,653.08,0.003,0.011,0.05,22.834631
16,452.03,892,207.03,797.34,0.003,0.004,0.041,22.122629
