processes,throughput_jps,cold_start_ms,avg_cpu_s,avg_rss_mb,p50_lat,p90_lat,p99_lat,duration
1,171.10,861,85.47,229.64,15.059,28.834,31.94,58.443781
2,328.52,865,160.89,441.04,1.39,2.681,3.093,30.439178
4,361.73,864,164.97,1019.75,0.011,0.038,0.061,27.644866
8,360.37,869,174.44,2116.36,0.01,0.03,0.05,27.749339
