threads,throughput_jps,cold_start_ms,avg_cpu_s,avg_rss_mb,p50_lat,p90_lat,p99_lat,duration
1,95.65,878,199.59,601.65,7.984,64.285,77.852,104.544943
2,224.54,922,334.41,633.49,1.749,5.474,16.843,44.535114
4,354.79,997,385.81,683.69,0.01,0.03,0.116,28.185545
8,356.07,1153,390.11,841.16,0.013,0.028,0.206,28.083998
16,350.22,916,397.66,1070.00,0.029,0.048,0.141,28.553188
