processes,throughput_jps,cold_start_ms,avg_cpu_s,avg_rss_mb,p50_lat,p90_lat,p99_lat,duration
1,91.42,850,82.59,287.08,40.061,77.7,85.69,109.382725
2,130.73,852,154.80,528.14,9.9,43.732,51.677,76.494614
4,367.44,971,378.83,961.17,0.028,0.165,0.198,27.214963
8,309.73,1009,605.98,1947.14,0.007,0.012,0.034,32.286619
16,237.26,1770,960.05,3269.21,0.008,0.015,0.025,42.148347
