processes,throughput_jps,cold_start_ms,avg_cpu_s,avg_rss_mb,p50_lat,p90_lat,p99_lat,duration
1,160.71,790,89.89,251.71,18.971,37.401,42.101,62.222376
2,349.40,768,190.51,476.84,1.496,6.937,7.188,28.620344
4,453.87,874,249.84,920.83,0.002,0.007,0.021,22.032794
8,397.35,944,327.19,1775.39,0.001,0.003,0.01,25.167038
16,381.74,1502,481.49,3326.87,0.001,0.002,0.006,26.195949
