threads,throughput_jps,cold_start_ms,avg_cpu_s,avg_rss_mb,p50_lat,p90_lat,p99_lat,duration
1,386.94,837,303.16,548.73,0.113,7.714,9.296,25.843556
2,411.31,837,268.52,587.46,0.001,0.03,0.058,24.31253
4,407.10,859,229.48,652.07,0.001,0.012,0.049,24.564151
8,385.82,824,214.42,690.70,0.001,0.002,0.04,25.91893
16,430.19,842,214.26,817.16,0.001,0.002,0.043,23.245667
