threads,throughput_jps,cold_start_ms,avg_cpu_s,avg_rss_mb,p50_lat,p90_lat,p99_lat,duration
1,408.00,774,74.97,137.32,0.109,5.257,7.436,24.509992
2,438.29,777,92.19,146.43,0.089,0.247,0.492,22.815872
4,438.59,818,99.68,185.28,0.015,0.054,0.103,22.800156
8,421.43,835,104.00,208.81,0.026,0.08,0.124,23.729011
16,441.10,786,105.36,268.79,0.029,0.079,0.122,22.670385
