processes,throughput_jps,cold_start_ms,avg_cpu_s,avg_rss_mb,p50_lat,p90_lat,p99_lat,duration
1,173.49,796,86.09,265.44,15.434,27.976,30.926,57.639119
2,332.07,871,160.86,443.40,0.771,2.111,2.339,30.113977
4,356.16,972,155.13,1007.65,0.008,0.034,0.054,28.077383
8,358.52,884,167.84,2097.91,0.007,0.028,0.044,27.892079
16,355.41,788,187.38,4443.26,0.006,0.014,0.032,28.136811
