threads,throughput_jps,cold_start_ms,avg_cpu_s,avg_rss_mb,p50_lat,p90_lat,p99_lat,duration
1,115.78,1003,222.59,600.63,7.547,47.326,59.738,86.371773
2,234.97,1029,346.36,638.39,1.627,4.687,14.118,42.558153
4,348.67,901,386.00,690.27,0.01,0.026,0.124,28.680328
8,356.67,938,385.39,851.13,0.01,0.019,0.088,28.037105
16,348.83,892,391.81,1041.92,0.019,0.046,0.148,28.667586
