threads,throughput_jps,cold_start_ms,avg_cpu_s,avg_rss_mb,p50_lat,p90_lat,p99_lat,duration
1,341.91,890,239.60,547.48,0.283,0.334,0.373,29.247047
2,352.09,801,212.27,590.54,0.017,0.045,0.068,28.40144
4,358.37,883,182.62,683.45,0.016,0.041,0.088,27.903979
8,360.09,899,173.86,798.69,0.012,0.034,0.069,27.770989
16,360.31,880,172.24,887.99,0.012,0.028,0.076,27.753823
