threads,throughput_jps,cold_start_ms,avg_cpu_s,avg_rss_mb,p50_lat,p90_lat,p99_lat,duration
1,371.21,930,304.13,543.92,0.113,9.689,11.397,26.938847
2,450.29,832,292.85,573.61,0.002,0.037,0.074,22.208038
4,418.31,836,237.95,654.16,0.001,0.011,0.052,23.905868
8,406.74,834,221.87,675.50,0.001,0.004,0.049,24.585555
16,400.83,894,214.94,852.06,0.001,0.002,0.04,24.948218
