threads,throughput_jps,cold_start_ms,avg_cpu_s,avg_rss_mb,p50_lat,p90_lat,p99_lat,duration
1,101.04,893,206.49,601.11,6.229,53.802,71.767,98.967817
2,292.28,927,363.66,634.00,0.959,1.953,6.743,34.214003
4,358.79,977,386.98,698.73,0.012,0.038,0.196,27.8717
8,366.15,1045,388.50,831.68,0.015,0.025,0.115,27.311392
16,358.96,900,401.83,1019.07,0.037,0.055,0.158,27.858067
