processes,throughput_jps,cold_start_ms,avg_cpu_s,avg_rss_mb,p50_lat,p90_lat,p99_lat,duration
1,169.97,865,85.33,224.47,15.02,29.044,32.37,58.83272
2,317.16,861,159.78,440.82,1.527,3.588,4.134,31.529904
4,360.07,864,164.73,1002.71,0.012,0.04,0.055,27.772321
8,358.78,865,173.18,2217.38,0.01,0.033,0.048,27.872617
