threads,throughput_jps,cold_start_ms,avg_cpu_s,avg_rss_mb,p50_lat,p90_lat,p99_lat,duration
1,342.99,876,234.38,547.00,0.039,0.078,0.175,29.155721
2,348.69,873,206.63,594.48,0.015,0.046,0.082,28.678897
4,356.40,879,187.77,667.15,0.014,0.04,0.083,28.058655
8,354.16,958,178.48,780.10,0.012,0.031,0.077,28.235662
16,358.51,924,168.49,933.78,0.012,0.029,0.083,27.89358
