threads,throughput_jps,cold_start_ms,avg_cpu_s,avg_rss_mb,p50_lat,p90_lat,p99_lat,duration
1,334.39,785,235.09,547.61,0.375,0.716,0.916,29.905609
2,347.05,866,209.80,595.57,0.013,0.04,0.096,28.814552
4,347.66,870,196.59,664.98,0.013,0.043,0.083,28.763971
8,352.71,954,182.63,780.09,0.009,0.031,0.076,28.351626
16,360.15,870,174.68,897.13,0.009,0.027,0.081,27.766303
