processes,throughput_jps,cold_start_ms,avg_cpu_s,avg_rss_mb,p50_lat,p90_lat,p99_lat,duration
1,161.62,973,85.40,227.54,16.441,31.727,35.376,61.871981
2,309.23,947,158.75,441.10,1.878,4.046,4.696,32.33842
4,358.62,879,165.78,1025.58,0.012,0.039,0.067,27.88431
8,359.67,857,176.62,2219.67,0.01,0.027,0.046,27.802892
16,355.34,879,192.40,4393.77,0.008,0.017,0.035,28.141985
