processes,throughput_jps,cold_start_ms,avg_cpu_s,avg_rss_mb,p50_lat,p90_lat,p99_lat,duration
1,141.90,5710,52.40,197.22,30.347,49.981,54.389,70.47143
2,253.33,5735,94.78,375.58,13.443,20.825,22.573,39.474035
4,441.13,5771,169.11,728.78,5.005,5.118,5.247,22.669071
8,509.00,5859,279.55,1407.43,0.77,4.135,4.682,19.646395
16,442.66,6300,488.90,2831.75,0.923,3.69,4.578,22.59088
