threads,throughput_jps,cold_start_ms,avg_cpu_s,avg_rss_mb,p50_lat,p90_lat,p99_lat,duration
1,397.03,1117,332.65,541.56,6.554,12.844,14.069,25.187027
2,677.31,942,374.57,589.03,2.004,2.957,3.187,14.764286
4,811.57,948,392.00,651.82,0.433,0.606,0.646,12.321749
8,848.16,983,363.54,822.77,0.004,0.228,0.331,11.790252
16,844.90,947,345.51,1074.65,0.005,0.14,0.302,11.835726
