processes,throughput_jps,cold_start_ms,avg_cpu_s,avg_rss_mb,p50_lat,p90_lat,p99_lat,duration
1,85.66,953,81.65,284.87,44.165,84.173,92.854,116.734457
2,127.97,907,153.88,533.59,10.025,44.531,53.238,78.140582
4,342.84,1080,380.93,973.87,0.065,0.415,0.466,29.167938
8,314.48,1316,578.28,1991.51,0.007,0.012,0.023,31.798583
16,214.59,1969,939.60,3223.78,0.01,0.017,0.029,46.599912
