threads,throughput_jps,cold_start_ms,avg_cpu_s,avg_rss_mb,p50_lat,p90_lat,p99_lat,duration
1,416.34,909,74.43,135.00,0.105,5.678,7.296,24.018799
2,435.08,790,91.94,142.80,0.119,1.744,2.504,22.984389
4,453.30,779,100.46,172.32,0.017,0.058,0.101,22.060502
8,446.07,750,105.04,221.34,0.022,0.069,0.114,22.417968
16,445.36,746,105.21,272.62,0.031,0.078,0.119,22.453538
