threads,throughput_jps,cold_start_ms,avg_cpu_s,avg_rss_mb,p50_lat,p90_lat,p99_lat,duration
1,135.09,940,235.57,599.87,6.469,37.754,47.77,74.027253
2,269.09,891,352.94,629.98,1.183,2.563,10.284,37.161824
4,353.36,884,389.87,702.47,0.013,0.074,0.14,28.299671
8,348.97,915,390.46,830.13,0.013,0.024,0.126,28.655717
16,355.43,938,384.99,1013.10,0.014,0.036,0.137,28.134852
