processes,throughput_jps,cold_start_ms,avg_cpu_s,avg_rss_mb,p50_lat,p90_lat,p99_lat,duration
1,169.34,943,85.34,226.94,15.419,29.351,32.524,59.052086
2,321.95,866,160.50,445.38,1.215,3.02,3.602,31.060553
4,361.56,862,164.87,1028.38,0.011,0.037,0.063,27.658185
8,360.55,871,174.05,2116.04,0.01,0.032,0.049,27.735441
