processes,throughput_jps,cold_start_ms,avg_cpu_s,avg_rss_mb,p50_lat,p90_lat,p99_lat,duration
1,170.33,900,84.47,228.34,14.892,28.808,32.289,58.711103
2,315.42,863,160.19,442.72,1.502,3.745,4.358,31.703874
4,361.28,863,164.86,1013.65,0.011,0.039,0.056,27.679093
8,358.18,821,174.52,2239.68,0.01,0.033,0.048,27.919025
